R_date,Latitude,Longitude,24/04/1995 12:00,24/04/2000 12:00,25/04/2005 12:00,26/04/2010 12:00,27/04/2015 12:00
JA005_B,25.17,90.2,16.5,18.85,19.41,15.98,15.9
JA006_B,24.78,89.82,9.98,10.94,13.4,9.93,10.31
JA007_B,24.98,89.81,11.79,12.66,12.67,,13.47
JA008_B,25.23,89.79,14.52,15.34,15.75,15.39,14.43
JA010_B,24.85,89.91,10.09,12.42,11.34,10.84,11.99
JA011_B,24.99,89.98,13.37,13.95,12.3,,
JA012_B,24.99,90.19,12.9,13.87,13.08,13.01,12.33
JA014_B,25.1,89.76,17.35,18.45,19.1,19.17,17.88
JA015_B,24.84,90.05,10.81,13.6,11.73,10.95,12.25
JA016_B,24.92,89.78,13.54,14.3,13.8,,14.95
JA018_B,25.05,90,13.21,13.9,14.41,,13.17
JA019_B,24.88,90.1,,9.97,11.07,9.04,9.37
JA020_B,24.87,89.74,11.48,12.3,11.76,12.36,11.78
JA021_B,25.13,89.7,14.18,15.08,14.38,,13.53
JA023_B,24.76,89.97,11.4,14.15,11.97,,12.16
JE001_B,23.2,89.27,-0.48,0.28,0.09,-0.6,-0.71
JE002_C,23.13,89.44,1.7,1.31,1.23,-0.75,1.03
JE003_B,23.39,89.2,,,,,1.31
JE004_B,23.48,89.23,3.09,2.82,2.77,,
JE006_B,23.47,89.42,-0.04,-0.14,-0.09,2.03,
JE007_B,23.62,89.09,3.64,4.26,3.02,3.93,5.43
JE009_B,23.32,88.8,2.21,2.93,3.47,2.2,2.51
JE010_B,22.96,89.24,0.79,0.99,1.74,,1.24
JE011_C,23.08,89.52,2.05,1.99,2.69,0.44,1.36
JE012_B,22.88,89.19,-1.15,-2.09,-0.89,,-3.24
JE013_C,23.14,88.97,-0.13,0.53,2.23,-0.69,1.21
JE014_B,23.26,89.28,-1.05,-1.32,-0.48,-1.98,-0.97
JE015_B,23.51,89.4,2.62,2.92,2.87,1.97,4.45
JE016_B,23.5,89.38,-0.68,-0.43,0.52,-0.78,2.12
JE017_B,23.51,89.47,1.26,1.56,1.42,0,0.97
JE018_B,23.24,89.17,1.28,1.6,2.29,1.15,
JE021_B,23.59,89.39,2.5,2.3,2.4,0.43,5.58
JE025_B,23.56,89.46,2.82,2.95,2.94,1.68,2.56
JE026_B,23.21,89.22,,-0.68,1.72,-1.17,-1.61
JE028_B,23.45,88.98,9.93,10.23,10.55,,9.8
JE029_B,23.54,89.47,1.34,1.73,1.31,-0.28,3.58
JE030_B,23.65,89.41,1.7,2.64,1.73,0.75,1.87
JE031_B,23.73,89.27,2.36,1.51,2.66,,2.56
JE032_C,23.18,89.44,0.1,-0.91,0.11,-1.11,1.14
JE034_B,23.5,89.48,1.06,1.41,1.41,0.51,1.06
JE036_C,23.02,89.26,0.2,0.57,0.55,-0.52,0.13
JE037_B,23.01,89.37,-0.91,-0.53,0.48,-1.17,-1.22
JE038_B,22.89,89.24,-0.05,-0.15,-0.68,,
JE039_B,23.65,89.32,2.3,2.65,2.62,0.82,
JE040_B,23.69,89.14,3.26,3.02,2.37,,
JE041_B,23.44,89.55,1.03,,0.93,-0.43,1.55
JE042_B,23.48,89.35,4.08,3.8,2.73,3.08,
JE043_C,23.47,89.36,2.21,3.49,1.9,0.48,
JE044_A,23.48,89.36,1.78,1.98,1.58,2.78,
JE046_B,23.1,89.65,2.09,2.46,2.26,2.86,3.78
JE047_A,23.21,89.62,1.86,,1.83,,1.7
JE048_A,23.6,89.32,2.68,2.38,2.88,4.57,
JE050_B,23.71,89.3,5.42,5.33,4.41,5.2,
JE052_B,23.71,89.31,2.19,2.54,,0.69,2.09
JE053_A,23.71,89.18,3.78,3.82,3.74,2.39,4.17
